Entity,Code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Peru,PER,2.6272032,2.7758014,2.8786111,2.9714112,3.0996504,3.2029545,3.2522697,3.4455953,3.336787,3.3404062,3.6187081,3.8177428,4.0950212,4.2594275,4.4751191,4.6956964,4.9764743,5.1424251,5.0471034,5.2071528,5.2877631,5.3984265,5.3394804,5.6065001,5.8918033,6.0582299,5.9483895,5.7643752,5.5086565,5.527545,5.8584342,6.1370044,6.001986,5.2965035,5.3520236,5.247057,5.5740142,6.0333061,5.6993794,4.6590481,4.5957327,4.4967074,4.5993495,4.7600169,5.290617,5.6529398,5.7608423,6.0271225,5.6625757,5.6105671,5.1932569,5.2105575,5.3580718,5.6131239,5.9544873,6.4885759,7.0596633,7.580441,8.1551056,8.1626272,9.2393875,10.031083,10.476438,10.791739,11.031838,10.910213,11.112116,11.187585
Philippines,PHL,,,,,,,,,,,,,,,,,,,,,3.6095529,3.5569344,3.5917156,3.7365446,3.8301911,4.0898266,4.3337464,4.3143649,4.2922134,4.1474032,4.5457911,4.532084,4.6646986,4.4522271,4.0170178,3.6887505,3.7764032,4.0775466,4.4114475,4.6352243,5.0231724,4.9968767,5.0487804,5.3014932,5.7162118,6.2169986,6.5327673,6.6125526,6.0313096,5.6679535,5.880661,5.6131778,5.5719724,5.5593014,5.5342922,5.5881262,5.8933158,6.1514235,6.4201455,6.490972,6.9427061,7.3528395,7.5580559,8.0290146,8.3025208,8.5515108,8.9257526,9.6389256
Poland,POL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.950162,12.641659,13.709008,14.599551,15.165374,15.562293,16.568731,17.343266,17.793726,18.814718,19.16564,19.659519,20.315781,20.411503,21.269712,21.903019,22.790068,25.73745,27.43997,28.418705,28.529173,28.346479,29.156763,29.509626,31.061352
Portugal,PRT,3.0793178,3.4267573,3.5581932,3.7327213,3.8813853,4.0136628,4.1867156,4.4951367,4.4093218,4.6563468,4.9707599,5.2671556,5.6824179,6.0668659,6.3661032,6.8736205,7.1176395,7.7457638,8.8887825,9.2621365,9.8662033,10.295086,11.038831,12.198849,11.498528,10.578391,11.195163,11.652396,11.946731,12.377824,12.648607,12.59174,12.712745,11.942002,11.603941,11.929058,13.182607,13.812022,14.755192,15.207797,15.903026,16.744692,17.260923,18.13957,19.390543,19.881763,20.074362,21.264364,21.652475,22.700914,23.453257,23.206509,23.294003,23.493219,23.545559,25.994442,27.243927,27.564116,27.551277,27.826616,29.439457,29.378988,30.544796,31.445803,31.280638,31.738722,29.084703,27.799564
Romania,ROU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1923733,8.7196503,8.2047825,8.2504501,8.3982477,8.7063255,9.5553093,10.95467,11.721263,13.270844,14.113142,15.952578,17.815891,20.684237,20.887705,21.623081,22.214352,25.799992,26.24255,26.77807,28.864254,31.298994,33.353191
Russia,RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.701906,12.767162,11.463222,11.096526,10.898945,10.456717,9.6346426,9.1317472,10.204453,10.387738,10.503565,11.435592,12.828995,14.696248,17.05549,19.792637,22.57509,20.676634,23.415195,26.708319,27.809864,28.132402,27.458197,24.142157,23.370552,23.9105
Saint Lucia,LCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2644997,10.129997,10.80791,11.185478,11.107075,11.665741,10.792454,10.772609,10.111172,9.337842,9.5028181,11.317702,10.636411,10.946546,9.9649601,9.8221712,8.3354645,,,,,,,,,,,,,,,,
Singapore,SGP,,,,,,,,,,,3.8847952,4.3113971,4.8509665,5.509089,5.4243259,5.7710814,6.359201,7.1890821,7.8397012,8.9876871,10.3009,10.832585,11.165365,11.526704,13.605501,13.955132,14.472525,15.076062,15.821642,17.267876,18.489614,18.133194,18.223667,19.045835,20.345108,18.806591,19.742884,20.979759,21.08629,20.298929,22.918968,20.894871,20.076614,18.904055,17.051355,16.941927,19.144566,19.2108,20.897701,21.863121,28.143967,26.007433,28.813831,26.997822,31.790226,42.10561,43.825172,44.301811,36.521801,34.447548,41.63641,43.99947,42.793999,41.677673,45.365833,45.118176,45.456043,48.246395
Slovakia,SVK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.252087,16.471275,16.339151,16.506237,17.441214,17.983747,19.161283,19.897287,19.604002,19.285925,20.509253,21.69187,22.615025,23.276735,22.914267,25.415373,26.389233,27.677992,29.592136,28.853695,31.523878,31.539068,31.661573,31.856274,32.51693,31.958994,32.289009,32.731033
Slovenia,SVN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.42812,24.174484,25.228989,24.810051,25.21435,26.303816,26.570093,26.393761,27.023327,27.756048,31.134966,31.19363,31.404945,33.493172,31.338003,32.622787,34.491257,35.057224,34.592617,34.702248,33.564655,33.966694,35.628292
South Africa,ZAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.179679,13.181885,14.137589,14.641752,14.736291,15.47813,16.541586,16.648008,16.7883,17.801285,17.750896,17.676292,17.453863,17.473833,17.025166,16.885654,16.673927
South Korea,KOR,,,,1.4363902,1.4568065,1.5338231,1.5386804,1.6481717,1.6715766,1.6668432,1.6497203,1.6962011,1.6371397,1.7543225,1.9356046,1.8526944,2.0704362,2.0831008,2.1787748,2.3651412,2.58056,2.8555498,3.0270588,3.454932,3.8796463,4.3020616,4.3177357,4.6057353,4.7870607,4.9850717,4.7000074,4.8638787,5.07443,5.6036544,6.1876044,6.2713065,7.1064186,7.9001956,8.8715954,9.7509546,10.915829,12.048909,12.871272,13.903078,15.267266,16.73321,18.27681,17.988014,17.321232,18.826815,19.343603,19.596798,20.867996,21.972574,23.156965,24.856293,25.477766,27.152468,28.247784,28.269518,30.454895,30.957315,30.769899,30.885378,31.758259,32.598591,33.443001,34.063381
Spain,ESP,3.749707,4.4117179,4.6138787,4.429256,4.9381738,5.1842022,5.522573,5.7167268,5.8902006,5.8418031,6.6185293,7.3429971,8.0788279,8.8626842,9.4829721,9.9875231,10.638777,11.040279,11.947026,13.000243,13.334291,13.833059,14.814837,15.610851,16.214169,16.492647,17.367472,18.339729,19.68532,20.825672,22.224407,22.008652,21.721027,21.708662,22.380222,22.447086,23.499882,24.209206,25.186834,26.142153,26.575228,27.340019,28.588129,30.008434,31.51989,32.588024,33.300293,34.612404,35.199654,35.012821,35.446335,34.957146,35.251709,34.931374,35.23988,37.863857,39.985825,41.802025,42.418053,43.673996,44.376198,44.979164,47.039505,47.722145,47.99633,49.117661,49.611275,51.166035
Sri Lanka,LKA,,,,,,,,,,,,,,,,,,,,,5.411685,5.2556572,5.3193951,5.525281,5.7335777,5.4957595,5.0424342,4.6864061,4.6677384,4.2308011,4.2048087,4.5128546,4.4556065,4.4755354,4.5949297,5.0771379,5.1383133,5.2650232,5.2627931,5.3459659,5.4257584,5.4302697,5.9061031,6.0773473,6.6652918,6.8019209,6.9810576,7.4146829,7.4071798,7.3617606,7.0103154,7.2382412,8.1122351,9.0915899,8.7101727,8.7077026,9.5143747,10.397678,10.579543,11.958087,12.680842,13.664108,14.551908,16.188269,16.819962,17.75201,18.275047,18.845987
Sweden,SWE,9.3135777,9.6460629,9.7475166,10.214843,10.708964,11.086463,11.608849,11.65848,11.961654,12.631723,12.850406,13.556516,14.109771,14.820919,15.953491,16.455084,16.837975,17.978148,18.858437,19.649834,20.595882,21.295525,22.271084,23.359753,23.707594,24.060511,23.948282,23.800276,24.876678,25.43255,25.287685,25.765833,25.850328,26.342127,27.390287,27.702642,29.532806,30.435497,30.848614,31.27763,31.584309,32.18689,33.023083,32.930569,34.592773,36.374081,37.536869,39.19149,40.153904,41.442719,43.837803,42.454762,43.205326,45.140656,46.927265,48.702824,50.185143,51.946018,52.568012,50.203243,51.550301,53.324692,53.895897,52.964497,52.183731,53.316845,52.277542,54.095798
Switzerland,CHE,13.755384,14.466039,14.265388,14.782806,15.663818,16.55069,17.304527,17.616962,17.198545,18.570232,19.644293,20.30913,20.479395,21.072065,21.928774,22.600174,23.20771,23.821196,24.526016,25.463591,26.666979,27.507683,28.398193,29.34095,30.168015,28.686878,28.966627,29.862709,30.440948,31.493221,32.674221,32.497658,32.428082,32.958683,33.393913,33.644577,34.96983,34.884418,34.744297,35.727234,36.801765,35.861683,36.340626,37.194111,37.88168,38.973148,40.029587,41.998623,42.469669,43.138912,43.548088,43.743847,44.39362,45.040958,45.773201,49.400242,51.734818,56.079521,59.399303,58.402611,60.988441,65.260918,66.947632,68.069656,69.212776,68.097389,67.68856,69.256592
Taiwan,TWN,,1.6729151,1.8295351,1.9940722,2.1461239,2.285095,2.3857563,2.5258973,2.6685727,2.8837121,3.0625846,3.1425402,3.2812347,3.5005012,3.8612237,4.2794647,4.5434718,4.8073411,5.1096606,5.2821059,5.5786657,6.1158366,6.7371287,7.10853,7.1130843,7.390986,8.344099,8.8323841,9.709836,9.9926167,10.822056,11.313329,11.772607,12.442025,13.289293,13.101109,14.67983,16.174582,17.278013,18.644661,20.666098,21.801857,22.851614,23.466629,24.661728,25.460447,27.437317,29.610477,29.889528,30.939945,32.614681,32.703625,33.845913,34.374157,35.002575,37.025234,36.703526,37.255722,36.419056,35.879715,38.292358,39.260715,38.479519,39.08601,40.906307,40.959194,42.738758,43.47332
Thailand,THA,,,,,,,,,,,,,,,,,,,,,2.1819496,2.2195685,2.5050879,2.4515471,2.4901617,2.5068989,2.617445,2.7585428,2.7553186,2.8036926,2.6412132,2.7670476,3.1381042,2.8316355,2.8412185,2.9647026,2.9013543,3.0823689,3.1883211,3.2362373,3.7087846,3.8489113,4.0645313,4.5699396,4.88799,5.4783282,6.2385659,5.7028332,4.8655472,5.0912862,5.088522,5.4017973,5.7476411,6.1504655,6.4544826,7.1672063,7.595293,7.9467874,8.2848186,8.0090408,9.0369587,9.4008026,10.307821,10.834773,11.119384,11.716516,12.072452,12.848203
Trinidad and Tobago,TTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.09968,19.057653,17.651609,16.969936,16.247993,15.312459,14.912743,14.031085,16.15819,18.826574,17.300467,17.7778,,,,,,,,,,,,,,,
Turkey,TUR,,,,,,,,,,,,,,,,,,,,,9.7152719,9.8769131,10.509879,10.972129,12.270225,13.139648,14.443499,13.776988,13.138212,12.921111,12.593265,14.02202,13.925006,14.541535,15.721215,16.114084,16.957092,18.912376,18.9877,18.096487,19.182131,17.845724,18.255903,20.888775,18.472488,19.406322,21.001987,22.431061,21.60709,19.981384,21.893015,21.272215,21.081379,20.731674,22.9039,24.603884,27.537912,30.054497,31.684952,31.046587,33.715973,36.188934,37.3279,39.193764,40.63913,43.169426,42.886116,44.460178
United Kingdom,GBR,9.241622,9.3618612,9.4685307,9.893465,10.111663,10.426188,10.624001,10.934814,11.254846,11.849011,12.274201,12.668812,12.97224,13.517695,14.184694,14.582378,15.232635,15.916651,16.744274,17.153103,18.06889,18.953251,19.272156,20.209448,19.629646,19.625914,20.809666,21.649292,22.986151,24.093683,24.945171,25.637903,26.249666,27.167421,26.867298,26.988237,27.177847,27.755659,27.717958,27.325104,27.650463,27.933634,28.656321,29.743893,30.123682,32.983772,34.653767,36.149155,36.728088,37.803783,40.075096,40.496998,40.761047,41.479942,42.140167,44.554199,44.93306,44.38929,45.404144,43.292732,45.687309,46.154877,46.208519,47.605621,46.869606,47.818005,47.326241,48.47868
United States,USA,18.140602,18.428661,18.856224,19.512449,20.034237,20.884556,21.015562,21.663401,22.211279,23.010408,23.487125,24.25445,25.088959,26.005913,26.880728,27.686653,28.474615,28.837688,29.659887,29.88081,30.454054,31.734072,32.629818,33.607967,33.173157,33.968956,34.92168,35.379436,35.834381,36.03878,36.034557,36.81805,36.580647,37.573624,38.53056,38.96814,39.760429,39.943665,40.454117,40.781513,41.33522,41.850613,43.590973,44.014053,44.520851,44.88369,45.857944,46.770359,47.856991,49.21479,50.509956,51.485168,52.848087,54.607567,56.122726,57.302429,57.924629,58.592964,59.200611,60.894161,62.596642,62.71867,63.18409,63.722698,64.186951,64.56395,64.715569,65.512207
Uruguay,URY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.998369,11.686223,12.969623,13.335964,14.079898,13.789325,15.027503,15.246481,16.475063,16.008389,15.676315,15.154122,14.820719,15.028112,14.68551,15.142659,15.367106,16.298527,17.669302,18.677153,21.182747,22.009409,24.295664,24.682686,25.307562,25.210814,25.694904,26.033661
Venezuela,VEN,7.5478311,8.1335726,9.077898,9.1032772,9.8269978,10.157681,10.68976,11.391913,11.717723,11.987491,10.955231,11.052633,11.607657,12.16325,13.209854,13.363421,13.133319,13.294883,14.500454,15.013263,16.62715,15.528718,15.510258,16.520229,19.49087,18.303972,19.689531,20.080412,18.761992,19.303806,16.876102,16.378145,15.274876,15.388285,15.808309,14.507582,12.959608,12.649525,12.391232,11.617335,11.973074,12.397735,12.448199,11.60274,10.677702,10.690738,10.387681,9.9979649,8.7254438,9.1173964,10.817652,10.039947,9.4608641,9.2923651,10.846614,13.34609,15.282747,,,,,,,,,,,
Vietnam,VNM,,,,,,,,,,,,,,,,,,,,,0.7653636,0.7537016,0.843436,0.7923938,0.8207877,0.7251787,0.7861463,0.8755842,0.8739468,0.9282178,0.9311109,0.9150859,0.8796166,0.895425,0.9210881,0.9411678,0.9166509,0.9184849,0.9457802,0.9185069,0.9175378,1.0096093,1.0640053,1.1709788,1.2156523,1.2822703,1.4304736,1.7518899,1.7321144,1.6941166,1.7944782,2.0123045,2.1616361,2.2803051,2.4667177,2.6798675,2.8026569,3.1079249,3.1511092,2.9808087,3.4850793,3.629915,3.7662969,3.9935246,4.4392929,4.4738555,4.5026927,4.8189182
