Entity,Code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Chile,CHL,,4.694901,5.0741653,5.1893678,5.530427,5.3936324,5.2944708,5.8242068,6.0369315,5.965313,6.3290901,6.0475316,7.467288,7.6551547,7.8254557,7.4524455,8.2457352,8.6067953,8.7019596,9.1971159,9.2148323,10.054305,9.6876345,9.3433104,9.1872559,8.0968466,8.3391199,8.7233276,9.3342371,9.9277401,9.9901609,10.293,9.634675,8.7419806,8.6513767,8.1381254,8.0961027,8.3799934,8.6596832,8.9777613,8.9945631,9.5753498,10.26972,10.486057,11.490346,13.203197,13.773369,14.096206,13.398358,13.095334,13.44909,13.356107,13.163943,13.319978,14.5016,16.219107,18.554628,19.937067,19.130981,19.867517,21.550421,23.058468,24.894268,24.442171,25.616693,25.208193,25.770044,25.596708
China,CHN,,,,,,,,,,,,,,,,,,,,,1.6174201,1.6632441,1.6360638,1.7166897,1.7275367,1.7514949,1.6652614,1.6975615,1.865437,1.9107265,1.9097193,1.8351896,1.8814691,1.9721537,2.1565759,2.3281271,2.3524551,2.409761,2.4513965,2.3255014,2.2291055,2.2962003,2.4765303,2.750895,2.8289464,2.9610353,3.1225436,3.0936859,3.0778956,3.2446113,3.4473243,3.6770813,3.9378955,4.106883,4.3889828,4.8437572,5.2627792,5.7209096,6.1198874,6.6282911,7.5316753,8.2591143,8.558217,9.01577,9.5472193,9.7453976,10.073822,10.679488
Colombia,COL,4.2666082,4.2727146,4.4953623,4.8134828,5.1989989,5.3169446,5.3496852,5.2500877,5.1556659,5.3723812,5.5958824,5.813529,5.94489,5.9775853,6.3284445,6.1964245,6.336864,6.368701,6.5705194,6.7918525,7.0923982,7.6380906,8.1717615,8.8172808,9.2833366,9.3414326,9.6803379,9.7138901,10.148959,10.22547,10.526426,10.16589,10.074827,10.057531,10.212815,9.9929991,10.306991,9.9441347,9.9516754,9.7504997,9.8660517,9.3109961,9.6486254,9.6739311,9.7739553,9.7689028,9.7317944,9.7464161,9.5423279,9.1415796,8.8443108,8.7642984,8.4560556,8.4356642,8.8744545,9.2080898,10.099349,10.881798,11.519242,11.278932,11.932921,12.829151,13.124943,13.498081,13.722745,13.252648,13.394485,13.624675
Costa Rica,CRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2562494,9.2234621,9.5416765,9.4334297,9.9479771,10.167526,10.367367,10.312392,10.538902,10.275871,10.051365,10.445995,10.377147,10.625444,10.646488,10.424993,10.466956,10.752545,10.92256,10.783611,10.704572,11.164248,12.272579,13.246943,14.130107,13.661233,14.106655,14.991574,15.579279,16.333437,16.573801
Croatia,HRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.559002,14.035974,15.232103,15.676184,16.039589,17.42449,18.496187,19.873205,20.643511,21.032591,22.697006,24.102514,25.252413,26.355976,25.276468,25.818447,27.837435,29.592051,29.508682,28.892735,31.06296,32.297134,34.250996
Cyprus,CYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.911995,28.540253,29.082697,28.244287,29.758604,33.709671,33.361568,32.24649,29.114841,29.314964,33.618988,34.532082,34.332047,35.067692,35.625862,36.305305,36.736736,38.530453,38.824921,37.900982,41.085045,41.546505,42.187675
Czechia,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.616669,20.674168,21.223576,22.120539,21.409224,20.760693,20.959059,21.76993,23.743925,23.186016,24.556274,25.123377,26.817575,27.30644,29.348255,30.203522,29.710907,30.004965,30.976297,31.208853,31.387775,32.350433,33.047848,32.989727,34.756939
Denmark,DNK,9.8447495,9.629014,9.9935141,10.489171,10.818468,10.871261,11.251428,11.893666,12.150289,13.02837,13.691865,14.259573,14.629579,14.584793,15.381495,15.674331,15.711294,16.802721,18.042282,19.268829,19.525497,20.4807,21.631342,22.771713,22.808006,23.639959,24.435106,25.494823,26.368177,27.323477,27.34944,27.289099,27.499319,27.861311,28.173611,28.23629,29.592407,30.867737,31.459677,32.087204,33.41666,33.935421,35.197792,35.57349,37.533596,38.273102,39.553009,40.617161,40.86953,42.014477,43.913395,43.389111,43.400513,44.814697,47.406631,51.236633,51.922703,52.967224,55.808689,55.829517,60.743645,62.033966,61.97694,61.509865,61.475842,60.947285,61.562832,64.705177
Ecuador,ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8731852,6.9549665,6.9423661,6.9087791,6.8470683,6.8587437,6.6881042,7.7099442,7.979218,8.4509296,9.4252129,10.052174,10.570633,11.239181,11.050797,12.024403,13.277621,13.616939,14.084748,14.471516,13.159917,12.277091,12.181006
Estonia,EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.437742,11.472614,11.485224,11.552489,11.937469,13.12498,13.763774,14.550543,15.214787,15.888641,18.600779,19.281914,21.388815,22.192236,23.795826,25.662985,26.16188,27.522696,27.973196,27.948025,26.73451,27.188126,28.027826
Finland,FIN,5.6193862,6.2699661,6.3605037,6.2312756,6.8679724,7.3651781,7.4310479,7.3708639,7.2656007,8.0920639,8.6761541,9.3721313,9.6237783,9.6841555,9.8750172,10.390108,10.813341,11.428539,12.304156,13.469744,14.346644,14.947979,15.940395,16.891106,17.569725,17.249331,18.186285,18.830261,19.828905,20.13595,20.850632,21.287642,21.32478,21.726149,21.967854,22.118837,23.921709,24.846409,26.173006,26.841505,27.880587,28.12361,28.838795,30.361605,31.614178,35.098942,34.569042,36.622929,39.128036,40.052338,41.304012,41.449142,40.986115,41.910137,43.552368,46.083672,46.334465,49.339184,50.344357,48.018772,49.710518,50.432434,50.055206,48.873863,49.116013,50.37709,51.384846,52.561089
France,FRA,6.8013196,7.0541196,7.270051,7.6464977,8.0162497,8.4454956,8.9616661,9.4992647,9.8766336,10.18633,10.96286,11.612323,12.327759,13.104335,13.770318,14.445487,15.157369,16.111916,17.025105,18.613039,19.646244,20.73744,22.258755,23.693264,24.945959,25.281353,25.897589,27.281403,28.870447,29.973269,30.632158,30.384779,31.554348,31.403904,31.343943,31.509838,33.122116,33.495731,34.632015,35.764862,36.695759,36.900764,37.824879,38.277187,38.882839,39.836193,40.52491,42.497635,44.295265,45.468002,47.608971,48.895962,50.078735,48.784325,48.998341,52.823704,54.199505,55.211666,55.132225,54.625366,56.513912,57.706932,57.548756,59.160408,59.467934,60.860722,61.625038,62.785526
Germany,DEU,4.2701316,4.689198,5.0812659,5.4334683,5.7973208,6.480773,6.9105692,7.2417564,7.5023503,8.150012,8.9240942,9.3035431,9.7840462,10.136098,10.827908,11.409735,11.897876,12.249604,13.008465,13.996504,14.716007,15.428338,16.364073,17.429588,18.148336,18.812185,19.664421,20.54294,21.313478,22.182579,22.54389,22.378866,22.186031,22.533554,22.777945,22.910469,24.73081,25.958847,27.272127,28.696114,31.568253,34.752674,36.276794,37.758373,39.318115,40.886547,41.956078,43.722958,44.830975,46.446682,47.245243,48.402744,48.946472,50.749966,52.033943,55.15741,55.355732,57.627258,58.517673,56.404095,58.186855,60.345444,60.103127,61.477345,63.050556,62.594673,64.647247,66.710243
Greece,GRC,,3.8646245,3.6316969,3.9856696,3.8982344,4.0170746,4.2144418,4.5397196,4.7537484,4.9538355,5.0523572,5.7651033,5.7451344,6.6238961,7.2308264,8.1162462,8.8652363,9.4665995,10.267565,11.539411,12.873272,13.824435,15.139989,16.049355,14.907479,15.714827,16.539822,16.701761,17.770731,17.895142,17.936003,17.048676,16.654364,16.354397,16.77224,16.971737,17.596601,17.37145,18.249548,19.071854,19.064899,20.743582,20.70425,20.898998,21.486057,21.962475,22.727127,24.865538,25.197258,25.727411,26.897448,27.937273,28.492847,28.288849,29.032797,28.650883,30.480707,30.256641,30.80826,30.409355,30.012945,28.866495,29.019201,30.108801,30.253761,30.193913,29.757895,30.181442
Hong Kong,HKG,,,,,,,,,,,4.7332344,4.8399835,5.1392317,5.6095858,5.9592857,6.5908237,6.8016443,6.820941,7.0080466,7.6221442,8.1196938,8.3956556,8.9430513,9.6343908,9.3708038,9.125103,10.236541,11.093947,11.79705,12.613194,13.005639,13.015513,13.405648,14.164781,15.085391,14.58288,16.133471,18.67944,18.706991,20.568092,23.038931,23.78685,27.033794,27.880383,28.364826,29.591511,29.425987,29.737524,27.942493,27.994303,30.058165,31.537134,33.090439,34.582882,38.466343,40.171658,36.785652,37.745018,37.166389,33.858013,36.10664,38.807663,39.321583,44.501854,39.781631,34.621464,34.636333,35.351849
